Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1961","1961","3050","FAO TIER 1","kilotonnes","9.993","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1962","1962","3050","FAO TIER 1","kilotonnes","9.8835","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1963","1963","3050","FAO TIER 1","kilotonnes","10.0523","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1964","1964","3050","FAO TIER 1","kilotonnes","10.2638","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1965","1965","3050","FAO TIER 1","kilotonnes","10.507","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1966","1966","3050","FAO TIER 1","kilotonnes","10.765","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1967","1967","3050","FAO TIER 1","kilotonnes","11.0618","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1968","1968","3050","FAO TIER 1","kilotonnes","11.5725","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1969","1969","3050","FAO TIER 1","kilotonnes","11.5205","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1970","1970","3050","FAO TIER 1","kilotonnes","11.5737","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1971","1971","3050","FAO TIER 1","kilotonnes","11.4298","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1972","1972","3050","FAO TIER 1","kilotonnes","8.8466","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1973","1973","3050","FAO TIER 1","kilotonnes","9.8358","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1974","1974","3050","FAO TIER 1","kilotonnes","10.7158","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1975","1975","3050","FAO TIER 1","kilotonnes","11.6284","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1976","1976","3050","FAO TIER 1","kilotonnes","11.9672","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1977","1977","3050","FAO TIER 1","kilotonnes","11.7213","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1978","1978","3050","FAO TIER 1","kilotonnes","11.5347","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1979","1979","3050","FAO TIER 1","kilotonnes","11.177","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1980","1980","3050","FAO TIER 1","kilotonnes","11.2935","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1981","1981","3050","FAO TIER 1","kilotonnes","11.1598","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1982","1982","3050","FAO TIER 1","kilotonnes","11.323","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1983","1983","3050","FAO TIER 1","kilotonnes","10.6138","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1984","1984","3050","FAO TIER 1","kilotonnes","10.0469","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1985","1985","3050","FAO TIER 1","kilotonnes","9.2551","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1986","1986","3050","FAO TIER 1","kilotonnes","7.8246","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1987","1987","3050","FAO TIER 1","kilotonnes","8.5232","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1988","1988","3050","FAO TIER 1","kilotonnes","8.8841","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1989","1989","3050","FAO TIER 1","kilotonnes","8.831","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","1709","Agricultural Soils","1990","1990","3050","FAO TIER 1","kilotonnes","8.6778","Fc","Calculated data",""
