Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","2.8164","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","0.0404","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","2.6739","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","0.0385","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","2.2858","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","0.0347","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","2.4914","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","0.0371","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","2.8721","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","0.045","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","3.0096","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","0.0468","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","3.5097","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","0.0541","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","3.639","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","0.0568","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7225","Emissions (CH4)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","3.7603","Fc","Calculated data",""
"GT","Emissions Totals","4","Algeria","7230","Emissions (N2O)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","0.0593","Fc","Calculated data",""
