Country,Item,Year,yield,pest_value,emiss_value,ave_rain,ave_temp
Algeria,Maize,1990,16500,5743,6.6816,7.666666666666667,23.216666666666665
Algeria,Potatoes,1990,78936,5743,6.6816,7.666666666666667,23.216666666666665
Algeria,"Rice, paddy",1990,28000,5743,6.6816,7.666666666666667,23.216666666666665
Algeria,Sorghum,1990,16571,5743,6.6816,7.666666666666667,23.216666666666665
Algeria,Wheat,1990,6315,5743,6.6816,7.666666666666667,23.216666666666665
Algeria,Maize,1991,19231,7094,6.5003,7.183333333333334,22.41666666666666
Algeria,Potatoes,1991,90747,7094,6.5003,7.183333333333334,22.41666666666666
Algeria,"Rice, paddy",1991,26786,7094,6.5003,7.183333333333334,22.41666666666666
Algeria,Sorghum,1991,24231,7094,6.5003,7.183333333333334,22.41666666666666
Algeria,Wheat,1991,10809,7094,6.5003,7.183333333333334,22.41666666666666
Algeria,Maize,1992,22828,3876,6.6693,7.433333333333331,22.400000000000002
Algeria,Potatoes,1992,107917,3876,6.6693,7.433333333333331,22.400000000000002
Algeria,"Rice, paddy",1992,24737,3876,6.6693,7.433333333333331,22.400000000000002
Algeria,Sorghum,1992,40000,3876,6.6693,7.433333333333331,22.400000000000002
Algeria,Wheat,1992,9939,3876,6.6693,7.433333333333331,22.400000000000002
Algeria,Maize,1993,12500,3710,6.789,5.241666666666666,22.658333333333335
Algeria,Potatoes,1993,111215,3710,6.789,5.241666666666666,22.658333333333335
Algeria,"Rice, paddy",1993,23118,3710,6.789,5.241666666666666,22.658333333333335
Algeria,Sorghum,1993,50000,3710,6.789,5.241666666666666,22.658333333333335
Algeria,Wheat,1993,8097,3710,6.789,5.241666666666666,22.658333333333335
Algeria,Maize,1994,4512,4059,6.7707,6.9416666666666655,23.066666666666666
Algeria,Potatoes,1994,95078,4059,6.7707,6.9416666666666655,23.066666666666666
Algeria,"Rice, paddy",1994,21411,4059,6.7707,6.9416666666666655,23.066666666666666
Algeria,Wheat,1994,7999,4059,6.7707,6.9416666666666655,23.066666666666666
Algeria,Maize,1995,16115,6256,7.0008,6.6916666666666655,23.183333333333334
Algeria,Potatoes,1995,136768,6256,7.0008,6.6916666666666655,23.183333333333334
Algeria,"Rice, paddy",1995,19594,6256,7.0008,6.6916666666666655,23.183333333333334
Algeria,Sorghum,1995,12667,6256,7.0008,6.6916666666666655,23.183333333333334
Algeria,Wheat,1995,8924,6256,7.0008,6.6916666666666655,23.183333333333334
Algeria,Maize,1996,17154,2191,6.5358,8.358333333333333,22.908333333333328
Algeria,Potatoes,1996,134629,2191,6.5358,8.358333333333333,22.908333333333328
Algeria,"Rice, paddy",1996,17883,2191,6.5358,8.358333333333333,22.908333333333328
Algeria,Sorghum,1996,14750,2191,6.5358,8.358333333333333,22.908333333333328
Algeria,Wheat,1996,13090,2191,6.5358,8.358333333333333,22.908333333333328
Algeria,Maize,1997,21417,1822,6.7688,7.583333333333333,23.283333333333335
Algeria,Potatoes,1997,141042,1822,6.7688,7.583333333333333,23.283333333333335
Algeria,"Rice, paddy",1997,15000,1822,6.7688,7.583333333333333,23.283333333333335
Algeria,Sorghum,1997,40000,1822,6.7688,7.583333333333333,23.283333333333335
Algeria,Wheat,1997,8016,1822,6.7688,7.583333333333333,23.283333333333335
Algeria,Maize,1998,17222,1499,7.6518,5.675000000000001,23.108333333333334
Algeria,Potatoes,1998,160256,1499,7.6518,5.675000000000001,23.108333333333334
Algeria,"Rice, paddy",1998,15000,1499,7.6518,5.675000000000001,23.108333333333334
Algeria,Sorghum,1998,24500,1499,7.6518,5.675000000000001,23.108333333333334
Algeria,Wheat,1998,8847,1499,7.6518,5.675000000000001,23.108333333333334
Algeria,Maize,1999,22375,2228,7.6021,8.0,23.28333333333333
Algeria,Potatoes,1999,153532,2228,7.6021,8.0,23.28333333333333
Algeria,"Rice, paddy",1999,13988,2228,7.6021,8.0,23.28333333333333
Algeria,Sorghum,1999,27000,2228,7.6021,8.0,23.28333333333333
Algeria,Wheat,1999,10711,2228,7.6021,8.0,23.28333333333333
Algeria,Maize,2000,36186,2537,7.6799,4.75,23.208333333333332
Algeria,Potatoes,2000,166143,2537,7.6799,4.75,23.208333333333332
Algeria,"Rice, paddy",2000,13084,2537,7.6799,4.75,23.208333333333332
Algeria,Sorghum,2000,69500,2537,7.6799,4.75,23.208333333333332
Algeria,Wheat,2000,9194,2537,7.6799,4.75,23.208333333333332
Algeria,Maize,2001,27175,2847,7.6921,5.516666666666667,23.441666666666666
Algeria,Potatoes,2001,147018,2847,7.6921,5.516666666666667,23.441666666666666
Algeria,"Rice, paddy",2001,12396,2847,7.6921,5.516666666666667,23.441666666666666
Algeria,Sorghum,2001,27750,2847,7.6921,5.516666666666667,23.441666666666666
Algeria,Wheat,2001,11104,2847,7.6921,5.516666666666667,23.441666666666666
Algeria,Maize,2002,33480,3156,7.7844,5.800000000000001,23.33333333333334
Algeria,Potatoes,2002,183774,3156,7.7844,5.800000000000001,23.33333333333334
Algeria,"Rice, paddy",2002,13029,3156,7.7844,5.800000000000001,23.33333333333334
Algeria,Sorghum,2002,33900,3156,7.7844,5.800000000000001,23.33333333333334
Algeria,Wheat,2002,10739,3156,7.7844,5.800000000000001,23.33333333333334
Algeria,Maize,2003,28853,3465,8.0166,8.65,23.441666666666666
Algeria,Potatoes,2003,212037,3465,8.0166,8.65,23.441666666666666
