WISE3_id,ISO,DESCR,DATEYR,DATEMON,SOLDEP,HORNUM,FAO_90,PHA_90,FAO_74,PHA_74,WRB2006,USCL,USYR,LOCAL,LONDD,LATDD,LONLAT_ACC,LOCAT,KOPPEN,ALTIT,LFORM,POSIT,SLOPE,PARMAT,DRAIN,LANDUS,SOURCE_ID,PITREF,LAB_ID,COUNTRY
"AF0001","AF","3",1962,,150,3,"CLl",,"Bk",,"CL",,,"Medium textured upland soil",6.9166669999999996e+01,3.4500000000000000e+01,"M","Kabul valley.","Dsb",1800,"LV","LS",,"UC","W","AA4","AS3/73","Profile 16 p10-11.","AF01","Afghanistan"
"AF0002","AF","3",1962,,170,4,"FLc",,"Jc",,"FL",,,"Alluvial soil with thick irrigation horizon",6.9166669999999996e+01,3.4500000000000000e+01,"M","Logar valley S of Kabul","Dsb",1800,"LV","LS",,"UF","M","AA6","AS3/73","Profile 20, pp 15-16.","AF01","Afghanistan"
"AF0003","AF","3",1962,,110,3,"FLc",,"Jc",,"FL",,,"Grey-brown hydromorphic soil",6.9166669999999996e+01,3.4500000000000000e+01,"M","Kabul valley","Dsb",1800,"LV","LO",,"UF","P","AA6","AS3/73","Profile 41, pp 20-21.","AF01","Afghanistan"
"AF0004","AF","3",1962,,270,6,"SCg",,"Zo",,"SC",,,"Grey-brown hydromorphic saline soil",6.1433329999999998e+01,3.4333329999999997e+01,"M","Ghurian basin, west of Herat.","BSk",930,"LV","BO",,"UF","M","AA4","AS3/73","Profile 17, pp 96-97.","AF01","Afghanistan"
"AF0005","AF","3",1962,,190,6,"SCk",,"Zo",,"SC",,,"Solonchak",6.2133330000000001e+01,3.2383330000000001e+01,"M","Farah valley, western Afganistan","BWh",650,"LV","LO",,"UF","P","HE2","AS3/73","Profile 21, pp 74-75.","AF01","Afghanistan"
"AL0001","AL","4",1981,9,94,4,"LVk",,"Lk",,"LV",,,"Marroon Meadow Soils",2.0750000000000000e+01,4.0616669999999999e+01,"M","Drenova","Dfb",600,"SH","BO","5","SC2","W","AA4","EU14/AISS","Soil Institute, Tirana","AL01","Albania"
"AL0002","AL","4",1983,9,87,3,"LPk",,"Be",,"LP",,,"Marroon grey soil",2.0300560000000001e+01,3.9634999999999998e+01,"S","Konispol","Csa",250,"SH","UP","15","SO1","W","AA2","EU10/AISS","Institute of Soil Science, Tirana","AL01","Albania"
"AL0003","AL","4",1985,12,85,3,"LVf",,"Lf",,"LV",,,"Marroon meadow soil",2.0386109999999999e+01,4.2222220000000000e+01,"S","Pla-Kruma","Dfb",565,"SM","LS","12","SC2","W","AA1","EU10/AISS","Institute of Soil Science, Tirana","AL01","Albania"
"AL0004","AL","4",1991,11,120,6,"CMc",,"Bk",,"CM",,,"Marroon Grey Soil",1.9561109999999999e+01,4.1077779999999997e+01,"S","Kavaja Rogozhina","Csa",33,"SH","UP","60","SC1","W","AT1","EU14/AISS","Institute of Soil Science, Tirana.","AL01","Albania"
"AL0005","AL","4",1991,10,170,5,"FLc",,"Jc",,"FL",,,"Marroon grey meadow soil",1.9511109999999999e+01,4.1423609999999996e+01,"S","Juba","Csa",6,"LF","BO","1","UF","W","AA2","EU10/AISS","Institute of Soil Science Tirana","AL01","Albania"
"AL0006","AL","4",1991,11,170,5,"FLc",,"Jc",,"FL",,,"Marroon grey meadow soil",1.9540830000000000e+01,4.1176670000000001e+01,"S","Synei","Csa",12,"LF","BO","3","UF","W","AA2","EU10/AISS","Institute of Soil Science, Tirana.","AL01","Albania"
