X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,wv0500_value,wv0500_value_avg,wv0500_method,wv0500_date,wv0500_dataset_id,wv0500_profile_code,wv0500_licence
25.423611,-24.418889,48649,92761,Botswana,10,45,Bt,0,"{1:8.00,2:8.00,3:8.00}",8,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1988-10-1,2:1988-10-1,3:1988-10-1}",AF-AfSP,BW SOTER_MW0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.423611,-24.418889,48649,92762,Botswana,45,75,Btk1,0,"{1:10.00,2:10.00,3:10.00}",10,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1988-10-1,2:1988-10-1,3:1988-10-1}",AF-AfSP,BW SOTER_MW0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.423611,-24.418889,48649,92763,Botswana,75,115,Btk2,0,"{1:13.00,2:13.00,3:13.00}",13,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1988-10-1,2:1988-10-1,3:1988-10-1}",AF-AfSP,BW SOTER_MW0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.476111,-18.604444,48668,92828,Botswana,5,23,A2,0,"{1:23.00,2:23.00,3:23.00}",23,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1987-10-1,2:1987-10-1,3:1987-10-1}",AF-AfSP,BW SOTER_PA0903,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.476111,-18.604444,48668,92830,Botswana,50,85,B2,0,"{1:24.00,2:24.00,3:24.00}",24,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1987-10-1,2:1987-10-1,3:1987-10-1}",AF-AfSP,BW SOTER_PA0903,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.944444,-24.561111,48760,93188,Botswana,0,11,Ap,0,"{1:4.00,2:4.00,3:4.00}",4,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1986-4-1,2:1986-4-1,3:1986-4-1}",AF-AfSP,BW SOTER_G0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.944444,-24.561111,48760,93189,Botswana,11,33,A,0,"{1:4.00,2:4.00,3:4.00}",4,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1986-4-1,2:1986-4-1,3:1986-4-1}",AF-AfSP,BW SOTER_G0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.944444,-24.561111,48760,93190,Botswana,33,51,Bt1,0,"{1:6.00,2:6.00,3:6.00}",6,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1986-4-1,2:1986-4-1,3:1986-4-1}",AF-AfSP,BW SOTER_G0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
25.944444,-24.561111,48760,93192,Botswana,97,180,Bt3,0,"{1:7.00,2:7.00,3:7.00}",7,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1986-4-1,2:1986-4-1,3:1986-4-1}",AF-AfSP,BW SOTER_G0901,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
26.563333,-23.122222,48806,93411,Botswana,10,25,Bt1,0,"{1:10.00,2:10.00,3:10.00}",10,"{""1:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""2:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified"",""3:device = tension table, expression = volume base; volume of water per unit volume of moist soil (v/v, volumetric water content), method = saturation (pF 0), sample type = not specified, tension = kPa=0.1, cm water head=1.0, bar=0.001, pF=0.0, treatment = not specified""}","{1:1988-10-1,2:1988-10-1,3:1988-10-1}",AF-AfSP,BW SOTER_SH0904,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
