Country,Year,Pesticides,N2O,Avg_rain,Avg_temp,Crop,Yield
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,"Beans, dry",13184
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,"Coffee, green",7742
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Potatoes,34836
Burundi,1990,92,2.9406,103.07499999999999,20.408333333333335,Tea,7742
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,"Coffee, green",1475
Comoros,1990,1,0.1299,154.25000000000003,24.308333333333337,Potatoes,120000
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,"Beans, dry",8382
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,"Coffee, green",6786
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Potatoes,88655
Kenya,1990,3469,32.1556,62.274999999999984,24.666666666666668,Tea,20313
Madagascar,1990,128,21.1506,94.075,22.266666666666666,"Beans, dry",8287
Madagascar,1990,128,21.1506,94.075,22.266666666666666,"Coffee, green",3536
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Potatoes,69744
Madagascar,1990,128,21.1506,94.075,22.266666666666666,Tea,17500
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,"Beans, dry",5667
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,"Coffee, green",14045
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Potatoes,102044
Malawi,1990,172,3.2412,68.11666666666667,22.266666666666666,Tea,21038
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Potatoes,181098
Mauritius,1990,889,0.3799,106.61666666666667,23.049999999999997,Tea,19797
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,"Coffee, green",6280
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Potatoes,120710
Mozambique,1990,102,3.2536,67.85000000000001,24.008333333333336,Tea,6897
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,"Beans, dry",7427
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,"Coffee, green",6305
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Potatoes,67453
Rwanda,1990,157,2.5155,92.83333333333331,19.10833333333333,Tea,10450
Seychelles,1990,10,0.0166,161.35833333333335,27.241666666666664,Tea,5475
Uganda,1990,72,13.8513,96.25,22.974999999999998,"Beans, dry",8001
Uganda,1990,72,13.8513,96.25,22.974999999999998,"Coffee, green",4768
Uganda,1990,72,13.8513,96.25,22.974999999999998,Potatoes,70000
Uganda,1990,72,13.8513,96.25,22.974999999999998,Tea,6095
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,"Coffee, green",9020
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Potatoes,90000
Zambia,1990,1080,15.1556,73.63333333333334,22.183333333333337,Tea,12174
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,"Beans, dry",7015
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,"Coffee, green",23223
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Potatoes,158974
Zimbabwe,1990,5727,14.0979,52.650000000000006,21.55,Tea,34274
Burundi,1991,92,2.9646,101.29166666666667,20.4,"Beans, dry",11273
Burundi,1991,92,2.9646,101.29166666666667,20.4,"Coffee, green",9001
Burundi,1991,92,2.9646,101.29166666666667,20.4,Potatoes,30873
Burundi,1991,92,2.9646,101.29166666666667,20.4,Tea,8842
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,"Coffee, green",1477
Comoros,1991,1,0.1284,169.21666666666667,24.141666666666666,Potatoes,133333
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,"Beans, dry",6651
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,"Coffee, green",5560
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Potatoes,113356
Kenya,1991,3469,30.9438,49.44166666666666,24.791666666666668,Tea,20232
Madagascar,1991,131,21.1845,110.85833333333333,22.3,"Beans, dry",9498
Madagascar,1991,131,21.1845,110.85833333333333,22.3,"Coffee, green",3812
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Potatoes,55983
Madagascar,1991,131,21.1845,110.85833333333333,22.3,Tea,18000
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,"Beans, dry",5578
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,"Coffee, green",14706
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Potatoes,66730
Malawi,1991,172,3.6023,87.88333333333334,22.09166666666667,Tea,18731
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Potatoes,197419
Mauritius,1991,815,0.3779,140.65833333333336,23.433333333333334,Tea,20620
Mozambique,1991,102,3.4115,81.46666666666665,23.95,"Coffee, green",6923
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Potatoes,124693
Mozambique,1991,102,3.4115,81.46666666666665,23.95,Tea,7720
Rwanda,1991,107,2.59,93.09999999999998,19.075,"Beans, dry",8542
Rwanda,1991,107,2.59,93.09999999999998,19.075,"Coffee, green",6140
Rwanda,1991,107,2.59,93.09999999999998,19.075,Potatoes,68462
Rwanda,1991,107,2.59,93.09999999999998,19.075,Tea,11288
Seychelles,1991,9,0.0171,169.4083333333333,27.391666666666662,Tea,5605
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,"Beans, dry",7513
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,"Coffee, green",5458
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Potatoes,71885
Uganda,1991,72,14.3373,102.56666666666666,22.849999999999994,Tea,6122
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,"Coffee, green",9667
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Potatoes,90909
Zambia,1991,1080,15.3872,80.11666666666667,21.850000000000005,Tea,12128
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,"Beans, dry",7037
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,"Coffee, green",19502
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Potatoes,157607
Zimbabwe,1991,6753,12.208,43.558333333333316,21.475000000000005,Tea,28680
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,"Beans, dry",11530
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,"Coffee, green",9304
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Potatoes,33357
Burundi,1992,92,2.9979,92.52499999999999,20.383333333333336,Tea,10657
Comoros,1992,1,0.1289,164.37500000000003,24.25833333333333,"Coffee, green",1484
Comoros,1992,1,0.1289,164.37500000000003,24.25833333333333,Potatoes,142857
Kenya,1992,3469,30.7371,52.15833333333333,24.691666666666666,"Beans, dry",7641
Kenya,1992,3469,30.7371,52.15833333333333,24.691666666666666,"Coffee, green",5546
Kenya,1992,3469,30.7371,52.15833333333333,24.691666666666666,Potatoes,92975
Kenya,1992,3469,30.7371,52.15833333333333,24.691666666666666,Tea,18466
Madagascar,1992,101,21.277,122.11666666666666,22.26666666666667,"Beans, dry",9037
Madagascar,1992,101,21.277,122.11666666666666,22.26666666666667,"Coffee, green",3698
Madagascar,1992,101,21.277,122.11666666666666,22.26666666666667,Potatoes,56560
Madagascar,1992,101,21.277,122.11666666666666,22.26666666666667,Tea,17576
Malawi,1992,172,3.6044,59.625,22.599999999999998,"Beans, dry",5379
Malawi,1992,172,3.6044,59.625,22.599999999999998,"Coffee, green",15692
Malawi,1992,172,3.6044,59.625,22.599999999999998,Potatoes,135970
Malawi,1992,172,3.6044,59.625,22.599999999999998,Tea,15375
Mauritius,1992,742,0.388,101.05833333333334,23.0,Potatoes,192134
Mauritius,1992,742,0.388,101.05833333333334,23.0,Tea,18644
Mozambique,1992,102,3.5667,56.73333333333333,24.50833333333333,"Coffee, green",6364
Mozambique,1992,102,3.5667,56.73333333333333,24.50833333333333,Potatoes,125448
Mozambique,1992,102,3.5667,56.73333333333333,24.50833333333333,Tea,5090
Rwanda,1992,97,2.5185,89.66666666666667,19.049999999999997,"Beans, dry",6923
Rwanda,1992,97,2.5185,89.66666666666667,19.049999999999997,"Coffee, green",6058
Rwanda,1992,97,2.5185,89.66666666666667,19.049999999999997,Potatoes,66731
Rwanda,1992,97,2.5185,89.66666666666667,19.049999999999997,Tea,10858
Seychelles,1992,9,0.0159,206.60833333333335,27.01666666666667,Tea,5333
Uganda,1992,72,14.5796,92.91666666666669,22.799999999999997,"Beans, dry",7500
Uganda,1992,72,14.5796,92.91666666666669,22.799999999999997,"Coffee, green",4244
Uganda,1992,72,14.5796,92.91666666666669,22.799999999999997,Potatoes,72432
Uganda,1992,72,14.5796,92.91666666666669,22.799999999999997,Tea,6132
Zambia,1992,1080,15.7103,64.23333333333333,22.5,"Coffee, green",9228
Zambia,1992,1080,15.7103,64.23333333333333,22.5,Potatoes,88889
Zambia,1992,1080,15.7103,64.23333333333333,22.5,Tea,11364
Zimbabwe,1992,3303,12.3147,38.25833333333333,22.224999999999998,"Beans, dry",6667
Zimbabwe,1992,3303,12.3147,38.25833333333333,22.224999999999998,"Coffee, green",10406
Zimbabwe,1992,3303,12.3147,38.25833333333333,22.224999999999998,Potatoes,156250
Zimbabwe,1992,3303,12.3147,38.25833333333333,22.224999999999998,Tea,20818
Burundi,1993,97,2.9537,87.80833333333334,20.308333333333334,"Beans, dry",10445
Burundi,1993,97,2.9537,87.80833333333334,20.308333333333334,"Coffee, green",8211
Burundi,1993,97,2.9537,87.80833333333334,20.308333333333334,Potatoes,29801
Burundi,1993,97,2.9537,87.80833333333334,20.308333333333334,Tea,9000
Comoros,1993,1,0.1308,151.8166666666667,24.174999999999997,"Coffee, green",1479
Comoros,1993,1,0.1308,151.8166666666667,24.174999999999997,Potatoes,150000
Eritrea,1993,4,3.2169,21.099999999999998,26.433333333333337,"Beans, dry",7662
Eritrea,1993,4,3.2169,21.099999999999998,26.433333333333337,Potatoes,82000
Ethiopia,1993,242,59.7766,70.59166666666665,22.48333333333333,"Beans, dry",5314
Ethiopia,1993,242,59.7766,70.59166666666665,22.48333333333333,"Coffee, green",7200
Ethiopia,1993,242,59.7766,70.59166666666665,22.48333333333333,Potatoes,80046
Ethiopia,1993,242,59.7766,70.59166666666665,22.48333333333333,Tea,6415
Kenya,1993,3469,30.3429,52.008333333333326,24.583333333333332,"Beans, dry",6508
Kenya,1993,3469,30.3429,52.008333333333326,24.583333333333332,"Coffee, green",4747
Kenya,1993,3469,30.3429,52.008333333333326,24.583333333333332,Potatoes,117490
Kenya,1993,3469,30.3429,52.008333333333326,24.583333333333332,Tea,20137
Madagascar,1993,109,21.4209,125.59166666666664,22.200000000000003,"Beans, dry",8786
Madagascar,1993,109,21.4209,125.59166666666664,22.200000000000003,"Coffee, green",3700
Madagascar,1993,109,21.4209,125.59166666666664,22.200000000000003,Potatoes,56429
Madagascar,1993,109,21.4209,125.59166666666664,22.200000000000003,Tea,18182
Malawi,1993,172,3.7257,79.43333333333334,22.224999999999998,"Beans, dry",5503
Malawi,1993,172,3.7257,79.43333333333334,22.224999999999998,"Coffee, green",12600
